I0,PA500,HFS,DA,Area,A/DA,'Max IP',DR,P,Class
'\'(372.7-642.4]\'','\'(0.185354-0.219946]\'','\'(-0.012915-0.040492]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(-inf-372.7]\'','\'(0.219946-0.254539]\'','\'(0.25412-0.307527]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(-inf-402.138953]\'',car
'\'(372.7-642.4]\'','\'(0.219946-0.254539]\'','\'(0.040492-0.093899]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.219946-0.254539]\'','\'(0.25412-0.307527]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(-inf-372.7]\'','\'(0.185354-0.219946]\'','\'(0.200713-0.25412]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.116169-0.150762]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',car
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.147306-0.200713]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',car
'\'(372.7-642.4]\'','\'(0.185354-0.219946]\'','\'(0.200713-0.25412]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.185354-0.219946]\'','\'(0.25412-0.307527]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.289131-0.323724]\'','\'(0.25412-0.307527]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.219946-0.254539]\'','\'(0.040492-0.093899]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.185354-0.219946]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(-inf-372.7]\'','\'(0.254539-0.289131]\'','\'(0.200713-0.25412]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.219946-0.254539]\'','\'(0.093899-0.147306]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.323724-inf)\'','\'(0.200713-0.25412]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(50.781869-93.594955]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(-inf-372.7]\'','\'(0.185354-0.219946]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',car
'\'(-inf-372.7]\'','\'(0.185354-0.219946]\'','\'(0.147306-0.200713]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',car
'\'(-inf-372.7]\'','\'(0.219946-0.254539]\'','\'(0.25412-0.307527]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(-inf-372.7]\'','\'(0.185354-0.219946]\'','\'(0.414341-inf)\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',car
'\'(372.7-642.4]\'','\'(0.185354-0.219946]\'','\'(0.147306-0.200713]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(93.594955-136.40804]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',car
'\'(-inf-372.7]\'','\'(0.046984-0.081577]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(-inf-0.046984]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.185354-0.219946]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(-inf-0.046984]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
