1,2,3,4,5,6,7,8,9,10,11,12,13
'\'(-inf-1.4]\'','\'(3.6-4]\'','\'(278.6428-317.8081]\'','\'(208.6801-inf)\'','\'(60.3668-70.002]\'','\'(170.4552-194.6769]\'','\'(279.6404-inf)\'','\'(-inf-86.5]\'','\'(59816-65794]\'','\'(44863.2-65568.8]\'','\'(171211-inf)\'','\'(14295-20911]\'','\'(519.0448-567.7489]\''
'\'(-inf-1.4]\'','\'(4.8-5.2]\'','\'(121.9816-161.1469]\'','\'(91.9609-106.5508]\'','\'(31.4612-41.0964]\'','\'(49.3467-73.5684]\'','\'(119.9872-142.7948]\'','\'(-inf-86.5]\'','\'(35904-41882]\'','\'(-inf-24157.6]\'','\'(85211-102411]\'','\'(-inf-14295]\'','\'(178.1161-226.8202]\''
'\'(-inf-1.4]\'','\'(5.6-inf)\'','\'(-inf-82.8163]\'','\'(-inf-91.9609]\'','\'(-inf-31.4612]\'','\'(-inf-49.3467]\'','\'(-inf-97.1796]\'','\'(-inf-86.5]\'','\'(-inf-17970]\'','\'(-inf-24157.6]\'','\'(-inf-33611]\'','\'(14295-20911]\'','\'(-inf-178.1161]\''
'\'(1.8-2.2]\'','\'(-inf-2.4]\'','\'(161.1469-200.3122]\'','\'(121.1407-135.7306]\'','\'(41.0964-50.7316]\'','\'(97.7901-122.0118]\'','\'(142.7948-165.6024]\'','\'(-inf-86.5]\'','\'(47860-53838]\'','\'(24157.6-44863.2]\'','\'(68011-85211]\'','\'(14295-20911]\'','\'(275.5243-324.2284]\''
'\'(1.8-2.2]\'','\'(2.8-3.2]\'','\'(82.8163-121.9816]\'','\'(106.5508-121.1407]\'','\'(31.4612-41.0964]\'','\'(49.3467-73.5684]\'','\'(97.1796-119.9872]\'','\'(-inf-86.5]\'','\'(47860-53838]\'','\'(-inf-24157.6]\'','\'(-inf-33611]\'','\'(14295-20911]\'','\'(178.1161-226.8202]\''
'\'(1.8-2.2]\'','\'(3.6-4]\'','\'(82.8163-121.9816]\'','\'(91.9609-106.5508]\'','\'(-inf-31.4612]\'','\'(49.3467-73.5684]\'','\'(119.9872-142.7948]\'','\'(-inf-86.5]\'','\'(47860-53838]\'','\'(-inf-24157.6]\'','\'(33611-50811]\'','\'(20911-27527]\'','\'(178.1161-226.8202]\''
'\'(1.8-2.2]\'','\'(4.8-5.2]\'','\'(121.9816-161.1469]\'','\'(106.5508-121.1407]\'','\'(41.0964-50.7316]\'','\'(49.3467-73.5684]\'','\'(142.7948-165.6024]\'','\'(-inf-86.5]\'','\'(41882-47860]\'','\'(24157.6-44863.2]\'','\'(33611-50811]\'','\'(20911-27527]\'','\'(226.8202-275.5243]\''
'\'(1.8-2.2]\'','\'(5.6-inf)\'','\'(82.8163-121.9816]\'','\'(106.5508-121.1407]\'','\'(31.4612-41.0964]\'','\'(73.5684-97.7901]\'','\'(119.9872-142.7948]\'','\'(-inf-86.5]\'','\'(29926-35904]\'','\'(24157.6-44863.2]\'','\'(50811-68011]\'','\'(14295-20911]\'','\'(226.8202-275.5243]\''
'\'(2.6-3]\'','\'(-inf-2.4]\'','\'(200.3122-239.4775]\'','\'(121.1407-135.7306]\'','\'(31.4612-41.0964]\'','\'(146.2335-170.4552]\'','\'(142.7948-165.6024]\'','\'(-inf-86.5]\'','\'(65794-inf)\'','\'(-inf-24157.6]\'','\'(102411-119611]\'','\'(-inf-14295]\'','\'(324.2284-372.9325]\''
'\'(2.6-3]\'','\'(2.8-3.2]\'','\'(121.9816-161.1469]\'','\'(91.9609-106.5508]\'','\'(31.4612-41.0964]\'','\'(-inf-49.3467]\'','\'(165.6024-188.41]\'','\'(778.5-inf)\'','\'(53838-59816]\'','\'(-inf-24157.6]\'','\'(68011-85211]\'','\'(-inf-14295]\'','\'(226.8202-275.5243]\''
'\'(2.6-3]\'','\'(3.6-4]\'','\'(161.1469-200.3122]\'','\'(91.9609-106.5508]\'','\'(41.0964-50.7316]\'','\'(97.7901-122.0118]\'','\'(119.9872-142.7948]\'','\'(173-259.5]\'','\'(41882-47860]\'','\'(-inf-24157.6]\'','\'(102411-119611]\'','\'(14295-20911]\'','\'(275.5243-324.2284]\''
'\'(2.6-3]\'','\'(4.8-5.2]\'','\'(121.9816-161.1469]\'','\'(-inf-91.9609]\'','\'(41.0964-50.7316]\'','\'(49.3467-73.5684]\'','\'(119.9872-142.7948]\'','\'(-inf-86.5]\'','\'(65794-inf)\'','\'(-inf-24157.6]\'','\'(33611-50811]\'','\'(27527-34143]\'','\'(226.8202-275.5243]\''
'\'(2.6-3]\'','\'(5.6-inf)\'','\'(161.1469-200.3122]\'','\'(106.5508-121.1407]\'','\'(41.0964-50.7316]\'','\'(122.0118-146.2335]\'','\'(119.9872-142.7948]\'','\'(-inf-86.5]\'','\'(29926-35904]\'','\'(24157.6-44863.2]\'','\'(68011-85211]\'','\'(27527-34143]\'','\'(275.5243-324.2284]\''
'\'(3.8-4.2]\'','\'(-inf-2.4]\'','\'(200.3122-239.4775]\'','\'(135.7306-150.3205]\'','\'(41.0964-50.7316]\'','\'(97.7901-122.0118]\'','\'(188.41-211.2176]\'','\'(-inf-86.5]\'','\'(29926-35904]\'','\'(24157.6-44863.2]\'','\'(102411-119611]\'','\'(27527-34143]\'','\'(324.2284-372.9325]\''
'\'(3.8-4.2]\'','\'(2.8-3.2]\'','\'(161.1469-200.3122]\'','\'(135.7306-150.3205]\'','\'(50.7316-60.3668]\'','\'(122.0118-146.2335]\'','\'(142.7948-165.6024]\'','\'(-inf-86.5]\'','\'(53838-59816]\'','\'(-inf-24157.6]\'','\'(85211-102411]\'','\'(27527-34143]\'','\'(324.2284-372.9325]\''
'\'(3.8-4.2]\'','\'(3.6-4]\'','\'(121.9816-161.1469]\'','\'(121.1407-135.7306]\'','\'(50.7316-60.3668]\'','\'(73.5684-97.7901]\'','\'(97.1796-119.9872]\'','\'(-inf-86.5]\'','\'(47860-53838]\'','\'(-inf-24157.6]\'','\'(50811-68011]\'','\'(20911-27527]\'','\'(226.8202-275.5243]\''
'\'(3.8-4.2]\'','\'(4.8-5.2]\'','\'(121.9816-161.1469]\'','\'(150.3205-164.9104]\'','\'(50.7316-60.3668]\'','\'(73.5684-97.7901]\'','\'(142.7948-165.6024]\'','\'(-inf-86.5]\'','\'(41882-47860]\'','\'(-inf-24157.6]\'','\'(85211-102411]\'','\'(14295-20911]\'','\'(275.5243-324.2284]\''
'\'(3.8-4.2]\'','\'(5.6-inf)\'','\'(82.8163-121.9816]\'','\'(106.5508-121.1407]\'','\'(41.0964-50.7316]\'','\'(49.3467-73.5684]\'','\'(97.1796-119.9872]\'','\'(-inf-86.5]\'','\'(41882-47860]\'','\'(24157.6-44863.2]\'','\'(-inf-33611]\'','\'(14295-20911]\'','\'(226.8202-275.5243]\''
'\'(4.6-inf)\'','\'(-inf-2.4]\'','\'(239.4775-278.6428]\'','\'(150.3205-164.9104]\'','\'(50.7316-60.3668]\'','\'(146.2335-170.4552]\'','\'(165.6024-188.41]\'','\'(-inf-86.5]\'','\'(35904-41882]\'','\'(24157.6-44863.2]\'','\'(154011-171211]\'','\'(-inf-14295]\'','\'(372.9325-421.6366]\''
'\'(-inf-1.4]\'','\'(2.8-3.2]\'','\'(121.9816-161.1469]\'','\'(164.9104-179.5003]\'','\'(89.2724-98.9076]\'','\'(73.5684-97.7901]\'','\'(119.9872-142.7948]\'','\'(778.5-inf)\'','\'(59816-65794]\'','\'(-inf-24157.6]\'','\'(68011-85211]\'','\'(67223-inf)\'','\'(275.5243-324.2284]\''
'\'(-inf-1.4]\'','\'(3.6-4]\'','\'(121.9816-161.1469]\'','\'(91.9609-106.5508]\'','\'(41.0964-50.7316]\'','\'(-inf-49.3467]\'','\'(119.9872-142.7948]\'','\'(173-259.5]\'','\'(53838-59816]\'','\'(-inf-24157.6]\'','\'(-inf-33611]\'','\'(40759-47375]\'','\'(226.8202-275.5243]\''
'\'(-inf-1.4]\'','\'(4.8-5.2]\'','\'(121.9816-161.1469]\'','\'(91.9609-106.5508]\'','\'(41.0964-50.7316]\'','\'(49.3467-73.5684]\'','\'(97.1796-119.9872]\'','\'(-inf-86.5]\'','\'(47860-53838]\'','\'(-inf-24157.6]\'','\'(33611-50811]\'','\'(47375-53991]\'','\'(226.8202-275.5243]\''
'\'(-inf-1.4]\'','\'(5.6-inf)\'','\'(161.1469-200.3122]\'','\'(-inf-91.9609]\'','\'(31.4612-41.0964]\'','\'(122.0118-146.2335]\'','\'(119.9872-142.7948]\'','\'(-inf-86.5]\'','\'(41882-47860]\'','\'(24157.6-44863.2]\'','\'(85211-102411]\'','\'(27527-34143]\'','\'(275.5243-324.2284]\''
'\'(1.8-2.2]\'','\'(-inf-2.4]\'','\'(239.4775-278.6428]\'','\'(135.7306-150.3205]\'','\'(50.7316-60.3668]\'','\'(122.0118-146.2335]\'','\'(211.2176-234.0252]\'','\'(-inf-86.5]\'','\'(53838-59816]\'','\'(24157.6-44863.2]\'','\'(119611-136811]\'','\'(27527-34143]\'','\'(372.9325-421.6366]\''
'\'(1.8-2.2]\'','\'(2.8-3.2]\'','\'(121.9816-161.1469]\'','\'(91.9609-106.5508]\'','\'(31.4612-41.0964]\'','\'(73.5684-97.7901]\'','\'(97.1796-119.9872]\'','\'(-inf-86.5]\'','\'(41882-47860]\'','\'(-inf-24157.6]\'','\'(50811-68011]\'','\'(27527-34143]\'','\'(226.8202-275.5243]\''
'\'(1.8-2.2]\'','\'(3.6-4]\'','\'(121.9816-161.1469]\'','\'(-inf-91.9609]\'','\'(31.4612-41.0964]\'','\'(73.5684-97.7901]\'','\'(119.9872-142.7948]\'','\'(-inf-86.5]\'','\'(53838-59816]\'','\'(-inf-24157.6]\'','\'(50811-68011]\'','\'(27527-34143]\'','\'(226.8202-275.5243]\''
