b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,class
'\'(61.4-69]\'','\'(50.2-57]\'','\'(62.4-70.1]\'','\'(112.2-119.4]\'','\'(65.8-71.5]\'','\'(110.5-116]\'','\'(126.6-inf)\'','\'(25.5-32]\'','\'(65.7-72.6]\'','\'(45.515-53.628]\'','\'(-6.465-0.808]\'','\'(22.358-31.156]\'','\'(-18.24--11.75]\'','\'(-46.48--40.864]\'','\'(-50.36--44.998]\'','\'(-inf--48.815]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-21.094--18.838]\'','\'(-inf--1.621]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-5.592--4.684]\'','\'(-inf--8.096]\'','d '
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-24.016-inf)\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','s '
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(-2.44-6.835]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-5.09--4.37]\'','\'(-20.936--18.835]\'','\'(-4.684--3.776]\'','\'(-7.262--6.428]\'','s '
'\'(61.4-69]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(90.6-97.8]\'','\'(65.8-71.5]\'','\'(105-110.5]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-40.864--35.248]\'','\'(-50.36--44.998]\'','\'(-39.54--30.265]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-5.656--4.54]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','d '
'\'(38.6-46.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(76.2-83.4]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(70.2-79.6]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(14.21-20.7]\'','\'(-29.632--24.016]\'','\'(-28.912-inf)\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-2.594--1.865]\'','\'(-7.888--6.772]\'','\'(-23.35--21.094]\'','\'(-1.621--1.412]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-4.684--3.776]\'','\'(-8.096--7.262]\'','s '
'\'(53.8-61.4]\'','\'(57-63.8]\'','\'(77.8-85.5]\'','\'(90.6-97.8]\'','\'(65.8-71.5]\'','\'(99.5-105]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(-13.738--6.465]\'','\'(4.762-13.56]\'','\'(1.23-7.72]\'','\'(-46.48--40.864]\'','\'(-44.998--39.636]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-17.275--15.372]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-21.094--18.838]\'','\'(-inf--1.621]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-inf--5.592]\'','\'(-inf--8.096]\'','d '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(112.2-119.4]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(29.289-37.402]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-18.24--11.75]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-inf--24.887]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-inf--32.374]\'','\'(-inf--1.621]\'','\'(-inf--7.25]\'','\'(-inf--27.239]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','h '
'\'(61.4-69]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(8.081-15.354]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','o '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-17.275--15.372]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-21.094--18.838]\'','\'(-inf--1.621]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-inf--5.592]\'','\'(-inf--8.096]\'','s '
'\'(53.8-61.4]\'','\'(43.4-50.2]\'','\'(62.4-70.1]\'','\'(105-112.2]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(53.628-61.741]\'','\'(0.808-8.081]\'','\'(31.156-39.954]\'','\'(-11.75--5.26]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','d '
