'X1 transaction date','X2 house age','X3 distance to the nearest MRT station','X4 number of convenience stores','X5 latitude','X6 longitude','Y house price of unit area'
'\'(2012.8502-2012.9418]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(9-inf)\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'','\'(29.58-40.57]\''
'\'(2012.8502-2012.9418]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'','\'(40.57-51.56]\''
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'','\'(40.57-51.56]\''
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'','\'(51.56-62.55]\''
'\'(2012.7586-2012.8502]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'','\'(40.57-51.56]\''
'\'(-inf-2012.7586]\'','\'(4.38-8.76]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'','\'(29.58-40.57]\''
'\'(-inf-2012.7586]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'','\'(29.58-40.57]\''
'\'(2013.3998-2013.4914]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'','\'(40.57-51.56]\''
'\'(2013.4914-inf)\'','\'(30.66-35.04]\'','\'(5195.093368-5841.557184]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.482804-121.492078]\'','\'(18.59-29.58]\''
'\'(2013.3998-2013.4914]\'','\'(17.52-21.9]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'','\'(18.59-29.58]\''
'\'(2013.0334-2013.125]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'','\'(40.57-51.56]\''
'\'(2013.3082-2013.3998]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'','\'(51.56-62.55]\''
'\'(2012.8502-2012.9418]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'','\'(29.58-40.57]\''
'\'(-inf-2012.7586]\'','\'(17.52-21.9]\'','\'(1962.774288-2609.238104]\'','\'(3-4]\'','\'(24.956826-24.965078]\'','\'(121.501352-121.510626]\'','\'(18.59-29.58]\''
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(3-4]\'','\'(24.989834-24.998086]\'','\'(121.529174-121.538448]\'','\'(29.58-40.57]\''
'\'(2013.4914-inf)\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(1-2]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'','\'(40.57-51.56]\''
'\'(2013.2166-2013.3082]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'','\'(62.55-73.54]\''
'\'(-inf-2012.7586]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'','\'(29.58-40.57]\''
'\'(2013.3998-2013.4914]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'','\'(40.57-51.56]\''
'\'(-inf-2012.7586]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'','\'(40.57-51.56]\''
'\'(2013.3998-2013.4914]\'','\'(4.38-8.76]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'','\'(18.59-29.58]\''
'\'(2013.3998-2013.4914]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'','\'(51.56-62.55]\''
'\'(2012.8502-2012.9418]\'','\'(13.14-17.52]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.547722-121.556996]\'','\'(18.59-29.58]\''
