X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,language
'\'(5.84101-8.222778]\'','\'(-7.555472--5.701099]\'','\'(5.439952-7.765259]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(0.729796-2.759893]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',ES
'\'(10.604546-12.986315]\'','\'(-5.701099--3.846726]\'','\'(3.114645-5.439952]\'','\'(11.174308-13.676625]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-8.029043--6.13069]\'',ES
'\'(5.84101-8.222778]\'','\'(-5.701099--3.846726]\'','\'(7.765259-10.090566]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-13.871502--12.377339]\'','\'(3.814116-5.48611]\'','\'(-3.330396--1.3003]\'','\'(-8.653615--5.878051]\'','\'(-2.249019-0.033998]\'','\'(-8.029043--6.13069]\'',ES
'\'(5.84101-8.222778]\'','\'(-5.701099--3.846726]\'','\'(5.439952-7.765259]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-8.653615--5.878051]\'','\'(0.033998-2.317015]\'','\'(-8.029043--6.13069]\'',ES
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(5.439952-7.765259]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-8.029043--6.13069]\'',ES
'\'(5.84101-8.222778]\'','\'(-5.701099--3.846726]\'','\'(5.439952-7.765259]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-inf--13.871502]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-8.653615--5.878051]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',ES
'\'(8.222778-10.604546]\'','\'(-5.701099--3.846726]\'','\'(5.439952-7.765259]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-inf--13.871502]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-8.653615--5.878051]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',ES
'\'(8.222778-10.604546]\'','\'(-5.701099--3.846726]\'','\'(7.765259-10.090566]\'','\'(8.67199-11.174308]\'','\'(-10.942715--8.585775]\'','\'(11.455917-13.953397]\'','\'(-13.871502--12.377339]\'','\'(5.48611-7.158105]\'','\'(0.729796-2.759893]\'','\'(-8.653615--5.878051]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',ES
'\'(5.84101-8.222778]\'','\'(-5.701099--3.846726]\'','\'(10.090566-12.415873]\'','\'(13.676625-inf)\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-inf--8.653615]\'','\'(0.033998-2.317015]\'','\'(-4.232337--2.333984]\'',ES
'\'(8.222778-10.604546]\'','\'(-5.701099--3.846726]\'','\'(7.765259-10.090566]\'','\'(11.174308-13.676625]\'','\'(-10.942715--8.585775]\'','\'(8.958437-11.455917]\'','\'(-inf--13.871502]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-inf--8.653615]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',ES
'\'(8.222778-10.604546]\'','\'(-7.555472--5.701099]\'','\'(5.439952-7.765259]\'','\'(11.174308-13.676625]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-13.871502--12.377339]\'','\'(2.142121-3.814116]\'','\'(0.729796-2.759893]\'','\'(-8.653615--5.878051]\'','\'(0.033998-2.317015]\'','\'(-4.232337--2.333984]\'',ES
'\'(8.222778-10.604546]\'','\'(-3.846726--1.992353]\'','\'(5.439952-7.765259]\'','\'(11.174308-13.676625]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(5.48611-7.158105]\'','\'(0.729796-2.759893]\'','\'(-8.653615--5.878051]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',ES
'\'(5.84101-8.222778]\'','\'(-9.409844--7.555472]\'','\'(7.765259-10.090566]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-inf--13.871502]\'','\'(3.814116-5.48611]\'','\'(0.729796-2.759893]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',ES
