1,2,3,4,5,6
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(122.1835-125.9442]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(2180-4160]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(122.1835-125.9442]\''
'\'(2180-4160]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(122.1835-125.9442]\''
'\'(2180-4160]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(122.1835-125.9442]\''
'\'(4160-6140]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(118.4228-122.1835]\''
'\'(6140-8120]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(118.4228-122.1835]\''
'\'(6140-8120]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(114.6621-118.4228]\''
'\'(8120-10100]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(114.6621-118.4228]\''
'\'(12080-14060]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(110.9014-114.6621]\''
'\'(14060-16040]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(67.34-inf)\'','\'(-inf-0.006202]\'','\'(107.1407-110.9014]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(-inf-2180]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(125.9442-129.7049]\''
'\'(2180-4160]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(122.1835-125.9442]\''
'\'(2180-4160]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(122.1835-125.9442]\''
'\'(2180-4160]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(118.4228-122.1835]\''
'\'(4160-6140]\'','\'(-inf-2.22]\'','\'(0.27686-inf)\'','\'(55.46-59.42]\'','\'(-inf-0.006202]\'','\'(118.4228-122.1835]\''
