b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013,location
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-89.6--75.8]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',O02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-89.6--75.8]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',P01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-89.6--75.8]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',P01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-89.6--75.8]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',P01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-89.6--75.8]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',P01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-84.8--70.4]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',P01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-84.8--70.4]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-89.6--75.8]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',P01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-99.2--84.8]\'','\'(-inf--185.6]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',P02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R01
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-84.8--70.4]\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-70.4-inf)\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
'\'(-inf--186.7]\'','\'(-inf--185.9]\'','\'(-inf--185.6]\'','\'(-70.4-inf)\'','\'(-inf--186]\'','\'(-inf--186.2]\'','\'(-inf--185.8]\'','\'(-inf--185.6]\'','\'(-inf--185.5]\'','\'(-inf--186.1]\'','\'(-inf--185.9]\'','\'(-inf--186]\'','\'(-inf--185.9]\'',R02
