1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
'\'(-inf-2.5]\'','\'(0.646058-0.734221]\'','\'(-inf-2.80974]\'','\'(0.275756-0.359829]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.780182-inf)\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(0.042152-0.060716]\'','\'(0.107634-0.132373]\'','\'(0.01551-0.022707]\'','\'(0.003185-0.006141]\'','\'(-inf-0.0003]\'','\'(0.93113-1.18504]\'',1
'\'(-inf-2.5]\'','\'(0.734221-0.822384]\'','\'(-inf-2.80974]\'','\'(0.359829-0.443902]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.780182-inf)\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(0.023587-0.042152]\'','\'(0.082894-0.107634]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(0.67722-0.93113]\'',1
'\'(2.5-4]\'','\'(0.734221-0.822384]\'','\'(-inf-2.80974]\'','\'(0.359829-0.443902]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.780182-inf)\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(-inf-0.023587]\'','\'(-inf-0.058154]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(0.42331-0.67722]\'',1
'\'(2.5-4]\'','\'(0.734221-0.822384]\'','\'(-inf-2.80974]\'','\'(0.275756-0.359829]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.780182-inf)\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(-inf-0.023587]\'','\'(0.058154-0.082894]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(0.42331-0.67722]\'',1
'\'(4-5.5]\'','\'(0.822384-0.910547]\'','\'(-inf-2.80974]\'','\'(0.443902-0.527975]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.702203-0.780182]\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(-inf-0.023587]\'','\'(-inf-0.058154]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(-inf-0.42331]\'',1
'\'(5.5-7]\'','\'(0.646058-0.734221]\'','\'(-inf-2.80974]\'','\'(0.275756-0.359829]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.780182-inf)\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(-inf-0.023587]\'','\'(0.058154-0.082894]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(-inf-0.42331]\'',1
'\'(5.5-7]\'','\'(0.734221-0.822384]\'','\'(-inf-2.80974]\'','\'(0.443902-0.527975]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.702203-0.780182]\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(-inf-0.023587]\'','\'(0.058154-0.082894]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(0.42331-0.67722]\'',1
'\'(7-8.5]\'','\'(0.734221-0.822384]\'','\'(-inf-2.80974]\'','\'(0.359829-0.443902]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.780182-inf)\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(0.023587-0.042152]\'','\'(0.082894-0.107634]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(0.42331-0.67722]\'',1
'\'(8.5-10]\'','\'(0.822384-0.910547]\'','\'(-inf-2.80974]\'','\'(0.443902-0.527975]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.702203-0.780182]\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(-inf-0.023587]\'','\'(-inf-0.058154]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(-inf-0.42331]\'',1
'\'(8.5-10]\'','\'(0.822384-0.910547]\'','\'(-inf-2.80974]\'','\'(0.527975-0.612048]\'','\'(0.943041-inf)\'','\'(0.939649-inf)\'','\'(0.624225-0.702203]\'','\'(-inf-0.022451]\'','\'(-inf-0.721938]\'','\'(-inf-0.023587]\'','\'(-inf-0.058154]\'','\'(-inf-0.008313]\'','\'(-inf-0.003185]\'','\'(-inf-0.0003]\'','\'(-inf-0.42331]\'',1
