sex,age,country,returning,GImg1,GImg2,GImg3,PImg1,PImg2,PImg3,PImg4,PImg5,'Tense - relaxed','Authoritative -anarchic ','Hostile - friendly',TAudio1,TAudio2,TAudio3,QAudio1,QAudio2,QAudio3,Proxemics,'Type of Client'
F,'\'(41.1-46.8]\'',uruguay,no,likes,indiferent,indiferent,likes,likes,indiferent,indiferent,dislikes,'\'(3.8-4.2]\'','\'(7.3-8.2]\'','\'(2.5-3]\'',C,dislikes,dislikes,indiferent,dislikes,dislikes,dislikes,0
M,'\'(58.2-63.9]\'',brasil,no,likes,indiferent,indiferent,likes,likes,likes,likes,dislikes,'\'(1.8-2.2]\'','\'(8.2-9.1]\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,likes,dislikes,dislikes,0
F,'\'(-inf-29.7]\'',england,no,indiferent,indiferent,indiferent,likes,likes,indiferent,likes,dislikes,'\'(4.6-inf)\'','\'(9.1-inf)\'','\'(4.5-5]\'',C,dislikes,dislikes,likes,dislikes,dislikes,dislikes,0
M,'\'(41.1-46.8]\'',canada,no,likes,dislikes,dislikes,likes,likes,indiferent,indiferent,dislikes,'\'(2.6-3]\'','\'(1.9-2.8]\'','\'(-inf-1.5]\'',C,dislikes,dislikes,likes,dislikes,indiferent,dislikes,0
M,'\'(29.7-35.4]\'',hungary,no,indiferent,indiferent,indiferent,likes,likes,indiferent,likes,dislikes,'\'(2.6-3]\'','\'(8.2-9.1]\'','\'(2.5-3]\'',C,dislikes,dislikes,likes,indiferent,dislikes,dislikes,0
F,'\'(29.7-35.4]\'',canada,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(8.2-9.1]\'','\'(-inf-1.5]\'',B,indiferent,dislikes,likes,indiferent,dislikes,dislikes,1
M,'\'(63.9-69.6]\'',canada,yes,indiferent,likes,likes,likes,likes,indiferent,indiferent,dislikes,'\'(-inf-1.4]\'','\'(9.1-inf)\'','\'(1.5-2]\'',B,dislikes,dislikes,likes,indiferent,dislikes,dislikes,1
M,'\'(46.8-52.5]\'',argentina,yes,likes,likes,likes,likes,likes,indiferent,likes,dislikes,'\'(-inf-1.4]\'','\'(8.2-9.1]\'','\'(-inf-1.5]\'',B,indiferent,dislikes,likes,indiferent,dislikes,dislikes,1
F,'\'(-inf-29.7]\'',hungary,no,likes,likes,likes,likes,likes,indiferent,indiferent,dislikes,'\'(3.8-4.2]\'','\'(2.8-3.7]\'','\'(2.5-3]\'',C,indiferent,dislikes,likes,indiferent,dislikes,dislikes,1
M,'\'(75.3-inf)\'',england,yes,likes,likes,likes,likes,likes,likes,likes,indiferent,'\'(-inf-1.4]\'','\'(2.8-3.7]\'','\'(1.5-2]\'',A,dislikes,indiferent,likes,dislikes,likes,indiferent,2
