1,2,3,4,5,6,7
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.3525-0.385]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
