@relation 'Credit Approval-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6'

@attribute 1 {b,a}
@attribute 2 {'\'(-inf-20.4]\'','\'(20.4-27.05]\'','\'(27.05-33.7]\'','\'(33.7-40.35]\'','\'(40.35-47]\'','\'(47-53.65]\'','\'(53.65-60.3]\'','\'(60.3-66.95]\'','\'(66.95-73.6]\'','\'(73.6-inf)\''}
@attribute 3 {'\'(-inf-2.8]\'','\'(2.8-5.6]\'','\'(5.6-8.4]\'','\'(8.4-11.2]\'','\'(11.2-14]\'','\'(14-16.8]\'','\'(16.8-19.6]\'','\'(19.6-22.4]\'','\'(22.4-25.2]\'','\'(25.2-inf)\''}
@attribute 4 {u,y,l}
@attribute 5 {g,p,gg}
@attribute 6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute 7 {v,h,bb,ff,j,z,o,dd,n}
@attribute 8 {'\'(-inf-2.85]\'','\'(2.85-5.7]\'','\'(5.7-8.55]\'','\'(8.55-11.4]\'','\'(11.4-14.25]\'','\'(14.25-17.1]\'','\'(17.1-19.95]\'','\'(19.95-22.8]\'','\'(22.8-25.65]\'','\'(25.65-inf)\''}
@attribute 9 {t,f}
@attribute 10 {t,f}
@attribute 11 {'\'(-inf-6.7]\'','\'(6.7-13.4]\'','\'(13.4-20.1]\'','\'(20.1-26.8]\'','\'(26.8-33.5]\'','\'(33.5-40.2]\'','\'(40.2-46.9]\'','\'(46.9-53.6]\'','\'(53.6-60.3]\'','\'(60.3-inf)\''}
@attribute 12 {f,t}
@attribute 13 {g,s,p}
@attribute 14 {'\'(-inf-200]\'','\'(200-400]\'','\'(400-600]\'','\'(600-800]\'','\'(800-1000]\'','\'(1000-1200]\'','\'(1200-1400]\'','\'(1400-1600]\'','\'(1600-1800]\'','\'(1800-inf)\''}
@attribute 15 {'\'(-inf-10000]\'','\'(10000-20000]\'','\'(20000-30000]\'','\'(30000-40000]\'','\'(40000-50000]\'','\'(50000-60000]\'','\'(60000-70000]\'','\'(70000-80000]\'','\'(80000-90000]\'','\'(90000-inf)\''}
@attribute 16 {+,-}

@data
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,w,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
a,'\'(53.65-60.3]\'','\'(2.8-5.6]\'',u,g,q,h,'\'(2.85-5.7]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,q,h,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,w,v,'\'(2.85-5.7]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(-inf-20.4]\'','\'(5.6-8.4]\'',u,g,w,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',f,s,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(2.8-5.6]\'',u,g,m,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,r,h,'\'(5.7-8.55]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(30000-40000]\'',+
a,'\'(20.4-27.05]\'','\'(11.2-14]\'',u,g,cc,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(53.65-60.3]\'','\'(-inf-2.8]\'',y,p,k,h,'\'(2.85-5.7]\'',t,f,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(40.35-47]\'','\'(2.8-5.6]\'',y,p,w,v,'\'(2.85-5.7]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,c,h,'\'(-inf-2.85]\'',f,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,c,h,'\'(2.85-5.7]\'',t,f,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
a,'\'(33.7-40.35]\'','\'(5.6-8.4]\'',u,g,k,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(47-53.65]\'','\'(5.6-8.4]\'',u,g,k,v,'\'(-inf-2.85]\'',f,f,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(40.35-47]\'','\'(8.4-11.2]\'',u,g,q,v,'\'(2.85-5.7]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(2.8-5.6]\'',y,p,k,v,'\'(-inf-2.85]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,m,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
a,'\'(20.4-27.05]\'','\'(5.6-8.4]\'',u,g,q,v,'\'(2.85-5.7]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,d,h,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(-inf-20.4]\'','\'(8.4-11.2]\'',u,g,cc,h,'\'(-inf-2.85]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(11.2-14]\'',u,g,c,v,'\'(-inf-2.85]\'',t,t,'\'(13.4-20.1]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,c,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',f,s,'\'(200-400]\'','\'(-inf-10000]\'',+
a,'\'(47-53.65]\'','\'(5.6-8.4]\'',u,g,c,v,'\'(5.7-8.55]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(27.05-33.7]\'','\'(14-16.8]\'',u,g,x,h,'\'(2.85-5.7]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(40.35-47]\'','\'(5.6-8.4]\'',u,g,q,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(-inf-20.4]\'','\'(-inf-2.8]\'',u,g,c,h,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(40.35-47]\'','\'(11.2-14]\'',u,g,i,bb,'\'(2.85-5.7]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(53.65-60.3]\'','\'(16.8-19.6]\'',u,g,d,bb,'\'(14.25-17.1]\'',t,t,'\'(13.4-20.1]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(53.65-60.3]\'','\'(8.4-11.2]\'',u,g,e,h,'\'(5.7-8.55]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(40.35-47]\'','\'(-inf-2.8]\'',u,g,w,v,'\'(2.85-5.7]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(400-600]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(14-16.8]\'',u,g,aa,v,'\'(2.85-5.7]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(40.35-47]\'','\'(8.4-11.2]\'',u,g,x,h,'\'(5.7-8.55]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(47-53.65]\'','\'(5.6-8.4]\'',u,g,i,bb,'\'(5.7-8.55]\'',t,t,'\'(13.4-20.1]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(33.7-40.35]\'','\'(2.8-5.6]\'',u,g,e,v,'\'(2.85-5.7]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(20.4-27.05]\'','\'(8.4-11.2]\'',u,g,q,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,w,v,'\'(-inf-2.85]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(400-600]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,cc,h,'\'(-inf-2.85]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(400-600]\'','\'(-inf-10000]\'',+
a,'\'(20.4-27.05]\'','\'(11.2-14]\'',u,g,x,h,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',y,p,cc,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(53.65-60.3]\'','\'(8.4-11.2]\'',u,g,ff,ff,'\'(14.25-17.1]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(8.4-11.2]\'',u,g,c,v,'\'(2.85-5.7]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(14-16.8]\'',u,g,c,h,'\'(2.85-5.7]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(-inf-2.8]\'',u,g,w,h,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(11.2-14]\'',u,g,w,v,'\'(8.55-11.4]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(53.65-60.3]\'','\'(25.2-inf)\'',y,p,c,v,'\'(25.65-inf)\'',t,t,'\'(33.5-40.2]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(53.65-60.3]\'','\'(5.6-8.4]\'',u,g,c,h,'\'(-inf-2.85]\'',t,t,'\'(6.7-13.4]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(40.35-47]\'','\'(-inf-2.8]\'',y,p,q,h,'\'(-inf-2.85]\'',t,t,'\'(20.1-26.8]\'',t,g,'\'(400-600]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(2.8-5.6]\'',u,g,cc,h,'\'(5.7-8.55]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(40.35-47]\'','\'(-inf-2.8]\'',u,g,i,bb,'\'(2.85-5.7]\'',f,f,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,c,v,'\'(-inf-2.85]\'',f,f,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,c,h,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(400-600]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,q,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(-inf-2.8]\'',u,g,w,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(-inf-2.8]\'',u,g,w,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(2.8-5.6]\'',u,g,cc,h,'\'(5.7-8.55]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(11.2-14]\'',y,p,w,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,cc,v,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(40.35-47]\'','\'(-inf-2.8]\'',u,g,i,h,'\'(2.85-5.7]\'',t,f,'\'(-inf-6.7]\'',t,g,'\'(200-400]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(2.8-5.6]\'',u,g,x,h,'\'(5.7-8.55]\'',f,f,'\'(-inf-6.7]\'',t,s,'\'(600-800]\'','\'(-inf-10000]\'',+
b,'\'(40.35-47]\'','\'(2.8-5.6]\'',u,g,q,h,'\'(5.7-8.55]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(53.65-60.3]\'','\'(11.2-14]\'',u,g,m,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(14-16.8]\'',u,g,d,v,'\'(2.85-5.7]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(200-400]\'','\'(-inf-10000]\'',+
a,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',y,p,q,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
a,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,q,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(2.8-5.6]\'',u,g,cc,v,'\'(2.85-5.7]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(-inf-2.8]\'',u,g,cc,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(400-600]\'','\'(40000-50000]\'',+
a,'\'(33.7-40.35]\'','\'(-inf-2.8]\'',u,g,c,v,'\'(-inf-2.85]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(20.4-27.05]\'','\'(-inf-2.8]\'',u,g,m,v,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',f,g,'\'(200-400]\'','\'(10000-20000]\'',+
b,'\'(-inf-20.4]\'','\'(5.6-8.4]\'',u,g,w,h,'\'(-inf-2.85]\'',t,t,'\'(6.7-13.4]\'',f,g,'\'(-inf-200]\'','\'(-inf-10000]\'',+
b,'\'(33.7-40.35]\'','\'(22.4-25.2]\'',u,g,x,h,'\'(-inf-2.85]\'',t,t,'\'(-inf-6.7]\'',t,g,'\'(400-600]\'','\'(-inf-10000]\'',+
b,'\'(27.05-33.7]\'','\'(5.6-8.4]\'',u,g,e,bb,'\'(-inf-2.85]\'',t,f,'\'(-inf-6.7]\'',t,s,'\'(400-600]\'','\'(-inf-10000]\'',-
b,'\'(33.7-40.35]\'','\'(2.8-5.6]\'',u,g,d,bb,'\'(11.4-14.25]\'',t,f,'\'(-inf-6.7]\'',t,g,?,'\'(-inf-10000]\'',-
