2,3,4,5,6,7,8,1
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(119.6-138]\'','\'(3376.5-3729.2]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(7.5-inf)\'','\'(338.9-377.6]\'','\'(156.4-174.8]\'','\'(3376.5-3729.2]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(138-156.4]\'','\'(3376.5-3729.2]\'','\'(9.68-11.36]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(138-156.4]\'','\'(3376.5-3729.2]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(138-156.4]\'','\'(3376.5-3729.2]\'','\'(9.68-11.36]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(7.5-inf)\'','\'(416.3-inf)\'','\'(193.2-211.6]\'','\'(4081.9-4434.6]\'','\'(9.68-11.36]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(416.3-inf)\'','\'(211.6-inf)\'','\'(4081.9-4434.6]\'','\'(-inf-9.68]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(416.3-inf)\'','\'(211.6-inf)\'','\'(4081.9-4434.6]\'','\'(-inf-9.68]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(416.3-inf)\'','\'(211.6-inf)\'','\'(4081.9-4434.6]\'','\'(9.68-11.36]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(377.6-416.3]\'','\'(174.8-193.2]\'','\'(3729.2-4081.9]\'','\'(-inf-9.68]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(377.6-416.3]\'','\'(156.4-174.8]\'','\'(3376.5-3729.2]\'','\'(9.68-11.36]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(338.9-377.6]\'','\'(156.4-174.8]\'','\'(3376.5-3729.2]\'','\'(-inf-9.68]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(377.6-416.3]\'','\'(138-156.4]\'','\'(3729.2-4081.9]\'','\'(-inf-9.68]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(416.3-inf)\'','\'(211.6-inf)\'','\'(3023.8-3376.5]\'','\'(9.68-11.36]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(2318.4-2671.1]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',3,'\'(20.28-24.04]\''
'\'(5.5-6]\'','\'(184.1-222.8]\'','\'(82.8-101.2]\'','\'(2671.1-3023.8]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(20.28-24.04]\''
'\'(5.5-6]\'','\'(184.1-222.8]\'','\'(82.8-101.2]\'','\'(2671.1-3023.8]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(5.5-6]\'','\'(184.1-222.8]\'','\'(82.8-101.2]\'','\'(2318.4-2671.1]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(20.28-24.04]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',3,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(-inf-64.4]\'','\'(-inf-1965.7]\'','\'(19.76-21.44]\'','\'(-inf-71.2]\'',2,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(2671.1-3023.8]\'','\'(16.4-18.08]\'','\'(-inf-71.2]\'',2,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(2318.4-2671.1]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',2,'\'(20.28-24.04]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(82.8-101.2]\'','\'(2318.4-2671.1]\'','\'(16.4-18.08]\'','\'(-inf-71.2]\'',2,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(101.2-119.6]\'','\'(1965.7-2318.4]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',2,'\'(24.04-27.8]\''
'\'(5.5-6]\'','\'(184.1-222.8]\'','\'(82.8-101.2]\'','\'(2318.4-2671.1]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(20.28-24.04]\''
'\'(7.5-inf)\'','\'(338.9-377.6]\'','\'(211.6-inf)\'','\'(4434.6-4787.3]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',1,'\'(-inf-12.76]\''
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(193.2-211.6]\'','\'(4081.9-4434.6]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(-inf-12.76]\''
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(193.2-211.6]\'','\'(4081.9-4434.6]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',1,'\'(-inf-12.76]\''
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(174.8-193.2]\'','\'(4434.6-4787.3]\'','\'(18.08-19.76]\'','\'(-inf-71.2]\'',1,'\'(-inf-12.76]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',3,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(27.8-31.56]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',3,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'',?,'\'(1965.7-2318.4]\'','\'(18.08-19.76]\'','\'(-inf-71.2]\'',1,'\'(24.04-27.8]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(82.8-101.2]\'','\'(2318.4-2671.1]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(101.2-119.6]\'','\'(3376.5-3729.2]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(82.8-101.2]\'','\'(3023.8-3376.5]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(82.8-101.2]\'','\'(3023.8-3376.5]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(82.8-101.2]\'','\'(3023.8-3376.5]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(7.5-inf)\'','\'(338.9-377.6]\'','\'(156.4-174.8]\'','\'(4081.9-4434.6]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(377.6-416.3]\'','\'(174.8-193.2]\'','\'(4434.6-4787.3]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(338.9-377.6]\'','\'(138-156.4]\'','\'(4081.9-4434.6]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(300.2-338.9]\'','\'(138-156.4]\'','\'(4081.9-4434.6]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(377.6-416.3]\'','\'(174.8-193.2]\'','\'(4787.3-inf)\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(-inf-12.76]\''
'\'(7.5-inf)\'','\'(377.6-416.3]\'','\'(156.4-174.8]\'','\'(4434.6-4787.3]\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(7.5-inf)\'','\'(377.6-416.3]\'','\'(174.8-193.2]\'','\'(4787.3-inf)\'','\'(11.36-13.04]\'','\'(-inf-71.2]\'',1,'\'(12.76-16.52]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(101.2-119.6]\'','\'(2671.1-3023.8]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(64.4-82.8]\'','\'(2318.4-2671.1]\'','\'(18.08-19.76]\'','\'(-inf-71.2]\'',1,'\'(20.28-24.04]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(82.8-101.2]\'','\'(3023.8-3376.5]\'','\'(14.72-16.4]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(5.5-6]\'','\'(222.8-261.5]\'','\'(82.8-101.2]\'','\'(3023.8-3376.5]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',1,'\'(16.52-20.28]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',1,'\'(20.28-24.04]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',2,'\'(27.8-31.56]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(64.4-82.8]\'','\'(1965.7-2318.4]\'','\'(18.08-19.76]\'','\'(-inf-71.2]\'',2,'\'(27.8-31.56]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(64.4-82.8]\'','\'(1965.7-2318.4]\'','\'(13.04-14.72]\'','\'(-inf-71.2]\'',2,'\'(27.8-31.56]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(64.4-82.8]\'','\'(-inf-1965.7]\'','\'(18.08-19.76]\'','\'(-inf-71.2]\'',3,'\'(27.8-31.56]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(64.4-82.8]\'','\'(-inf-1965.7]\'','\'(16.4-18.08]\'','\'(-inf-71.2]\'',3,'\'(31.56-35.32]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(-inf-64.4]\'','\'(-inf-1965.7]\'','\'(18.08-19.76]\'','\'(-inf-71.2]\'',2,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(64.4-82.8]\'','\'(-inf-1965.7]\'','\'(19.76-21.44]\'','\'(-inf-71.2]\'',1,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(14.72-16.4]\'','\'(71.2-72.4]\'',3,'\'(20.28-24.04]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(64.4-82.8]\'','\'(1965.7-2318.4]\'','\'(16.4-18.08]\'','\'(71.2-72.4]\'',1,'\'(24.04-27.8]\''
'\'(3.5-4]\'','\'(-inf-106.7]\'','\'(-inf-64.4]\'','\'(1965.7-2318.4]\'','\'(23.12-inf)\'','\'(71.2-72.4]\'',2,'\'(20.28-24.04]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(2318.4-2671.1]\'','\'(18.08-19.76]\'','\'(71.2-72.4]\'',1,'\'(16.52-20.28]\''
'\'(3.5-4]\'','\'(106.7-145.4]\'','\'(82.8-101.2]\'','\'(1965.7-2318.4]\'','\'(16.4-18.08]\'','\'(71.2-72.4]\'',1,'\'(20.28-24.04]\''
